,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
5,2869,8967298,3600,3.0,2,900,4,1.0,15,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
10,4318,57792653,3900,3.0,2,1000,4,9.0,8,0,0,0,0,1,0,0,0,Greenwood,South Brooklyn,Brooklyn
13,6265,20382303,2700,2.0,1,900,4,2.0,96,0,0,0,0,0,0,0,0,Gowanus,Northwest Brooklyn,Brooklyn
17,24,96767093,4900,1.0,1,1216,6,3.0,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
23,9481,25024137,3900,0.0,1,1100,3,4.0,85,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
33,849,26340900,2750,1.0,1,700,12,3.0,9,1,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
38,6029,33949660,2700,2.0,1,750,7,14.0,96,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
39,3686,30668825,4905,2.0,2,1114,6,5.0,2,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
40,7616,68798163,2000,1.0,1,700,4,2.0,85,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
45,863,62708999,3200,1.0,1,800,5,3.0,27,0,0,0,0,0,0,0,0,Boerum Hill,Northwest Brooklyn,Brooklyn
52,8742,21755311,2950,2.0,1,1000,4,3.0,85,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn
56,9103,84738920,1950,2.0,1,950,5,2.0,75,0,0,0,0,0,0,0,0,Sheepshead Bay,South Brooklyn,Brooklyn
62,10632,89956739,1799,1.0,1,650,7,3.0,8,0,0,0,0,0,0,0,0,Greenwood,South Brooklyn,Brooklyn
74,3887,10817685,5317,2.0,2,981,3,5.0,85,1,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
79,4544,33090883,2300,2.0,1,750,14,1.0,85,0,0,0,0,0,0,0,0,Red Hook,Northwest Brooklyn,Brooklyn
82,1026,32260830,2400,0.0,1,450,1,30.0,9,0,0,0,0,0,0,0,0,Fort Greene,Northwest Brooklyn,Brooklyn
93,2201,88520811,3045,1.0,1,589,1,3.0,17,1,0,0,0,0,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
101,5050,22254989,3790,1.0,1,681,2,7.0,90,1,1,1,1,1,0,0,1,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
112,10876,80161961,2500,0.0,1,525,7,4.0,66,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
124,5912,72456320,2600,3.0,1,1200,5,3.0,91,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
126,6233,91179322,3226,1.0,1,976,3,5.0,0,1,0,0,0,0,0,0,0,Prospect Park South,Prospect Park,Brooklyn
128,726,7163201,4995,2.0,2,1251,5,4.0,8,0,1,1,0,0,1,0,0,Williamsburg,North Brooklyn,Brooklyn
129,5075,10817685,6950,3.0,2,1172,3,4.0,85,1,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
139,3104,48187753,3500,3.0,1,950,5,2.0,115,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
141,1387,10574372,3080,1.0,1,655,7,5.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
142,8676,11588677,6992,2.0,2,1213,2,7.0,0,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
148,9776,16444992,6000,4.0,2,1800,3,2.0,56,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
152,8940,30888541,2700,2.0,2,750,11,2.0,96,0,0,0,0,0,0,0,0,Columbia St Waterfront District,Northwest Brooklyn,Brooklyn
155,7240,33780897,4246,2.0,2,1100,4,6.0,2,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
157,1388,79041424,2299,3.0,1,1000,8,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
158,7568,18850963,2400,1.5,1,750,5,2.0,88,0,0,0,0,0,0,0,0,Greenpoint,North Brooklyn,Brooklyn
160,7968,50551718,2485,1.0,1,703,10,5.0,3,1,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
163,6408,87722250,4000,1.0,2,900,3,1.0,106,1,1,1,1,1,1,0,1,Williamsburg,North Brooklyn,Brooklyn
166,7191,31163661,2995,4.0,1,2000,5,1.0,4,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
175,2291,8716928,1500,1.0,1,800,6,3.0,52,0,0,0,0,0,0,0,0,Kensington,South Brooklyn,Brooklyn
176,508,93684714,4370,2.0,2,933,1,25.0,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
180,8094,83144502,2400,2.0,1,800,8,2.0,111,1,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
181,5659,42310948,3200,1.0,1,701,10,13.0,6,1,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
183,4123,68035427,3500,4.0,2,1500,7,1.0,86,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
188,5977,37993725,1600,1.5,1,800,3,3.0,109,0,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
198,10259,11176577,1650,1.0,1,686,6,4.0,57,1,0,0,0,0,0,0,0,Brighton Beach,South Brooklyn,Brooklyn
205,4857,76146604,2600,3.0,1,800,3,1.0,96,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
209,10421,2811462,2400,1.0,1,875,2,2.0,85,0,0,0,0,0,0,0,0,Gowanus,Northwest Brooklyn,Brooklyn
215,4540,63465796,1800,1.5,1,1000,2,2.0,85,0,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
234,8302,61724414,2295,1.5,1,600,4,2.0,86,0,0,0,0,0,0,0,0,Greenpoint,North Brooklyn,Brooklyn
235,10395,64837942,4700,3.0,2,1300,4,3.0,85,1,1,0,1,1,0,0,1,Williamsburg,North Brooklyn,Brooklyn
238,2915,15094736,1875,0.0,1,460,7,1.0,116,0,0,0,0,0,0,0,0,Carroll Gardens,Northwest Brooklyn,Brooklyn
239,3611,38212064,2900,2.0,1,756,3,2.0,9,0,0,0,0,0,0,0,0,Crown Heights,East Brooklyn,Brooklyn
240,9558,48753921,3600,3.0,1,1000,2,4.0,86,1,0,0,0,0,0,0,0,Prospect Heights,Prospect Park,Brooklyn
250,1997,86088937,2450,1.0,1,800,5,3.0,85,1,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
255,8915,36596774,3200,2.0,1,1000,3,3.0,96,0,0,0,0,0,0,0,0,Park Slope,Prospect Park,Brooklyn
262,1471,83863916,3300,1.0,1,974,3,7.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
264,1656,53067637,8900,3.0,2,2000,8,3.0,102,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
268,2972,66503950,2195,0.0,1,550,3,4.0,85,1,0,0,0,0,0,0,0,Boerum Hill,Northwest Brooklyn,Brooklyn
271,4182,36298196,2900,1.0,1,662,1,4.0,9,0,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
275,7807,63775229,2400,3.0,1,1100,3,4.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,East Brooklyn,Brooklyn
284,7036,29791287,2000,2.0,1,850,8,5.0,80,0,0,0,0,0,0,0,0,Bay Ridge,South Brooklyn,Brooklyn
292,6236,28269241,3100,1.0,1,820,1,10.0,96,1,1,1,1,1,1,0,1,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
296,7906,77143827,1650,1.0,1,620,1,1.0,90,0,0,0,0,0,0,0,0,Prospect Park South,Prospect Park,Brooklyn
301,780,82658811,3090,1.0,1,675,1,16.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
302,7915,10574372,4120,2.0,2,917,7,4.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
309,9384,42310948,4079,2.0,2,1154,10,14.0,6,1,1,1,0,1,1,1,1,Clinton Hill,Northwest Brooklyn,Brooklyn
316,10586,9491303,1984,1.0,1,761,6,55.0,89,1,0,0,0,0,0,0,0,Flatbush,South Brooklyn,Brooklyn
321,802,82658811,2745,0.0,1,476,1,37.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
329,10047,23106060,1695,1.0,1,700,7,3.0,53,0,0,0,0,0,0,0,0,Kensington,South Brooklyn,Brooklyn
337,10653,12151286,2850,1.0,1,800,7,3.0,12,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
338,10587,9491303,2123,1.0,1,720,6,58.0,89,1,0,0,0,0,0,0,0,Flatbush,South Brooklyn,Brooklyn
345,1189,47908911,2250,1.0,0,700,9,1.0,85,0,0,0,0,0,0,0,0,Greenpoint,North Brooklyn,Brooklyn
360,8860,29202488,4995,2.0,2,1400,2,6.0,96,1,0,1,1,0,0,0,1,DUMBO,Northwest Brooklyn,Brooklyn
365,3194,82658811,2600,0.0,1,469,1,39.0,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Northwest Brooklyn,Brooklyn
366,10238,60384091,5300,2.0,2,1211,9,6.0,0,1,0,0,0,0,0,0,0,Greenpoint,North Brooklyn,Brooklyn
370,11053,83863916,3786,2.0,1,958,3,6.0,2,0,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
371,8870,96767093,5300,2.0,1,1020,6,3.0,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
372,5046,84510060,2900,3.0,1,1500,1,2.0,85,0,0,0,0,0,0,0,0,Bushwick,East Brooklyn,Brooklyn
373,5637,42310948,2975,1.0,1,701,10,4.0,6,1,0,0,1,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
