,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
2,10234,87632265,3000,3.0,1,1000,4,1.0,106,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
6,10524,60898078,1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
8,5465,73060494,3500,1.0,1,996,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
21,5259,2540088,1725,1.0,1,800,1,2.0,89,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
25,9736,5154242,1700,1.0,1,730,10,3.0,7,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
26,3833,41319561,2550,2.0,1,1000,4,3.0,20,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
35,4315,91154087,2550,2.0,1,1081,2,3.0,65,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
59,3545,70847172,3100,1.0,1,787,6,3.0,9,1,1,0,1,1,0,1,0,Long Island City,Northwest Queens,Queens
61,5606,68186648,1399,0.0,1,580,8,1.0,13,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
80,1746,83371097,2275,0.0,1,481,3,27.0,16,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
102,10315,71689803,3400,3.0,2,1200,2,2.0,86,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
107,8385,8217653,2695,1.0,1,875,8,15.0,56,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
109,3257,13753727,4275,2.0,2,913,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
120,194,81896419,2000,2.0,1,1000,7,3.0,76,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
121,9386,9968115,2200,1.0,1,886,8,4.0,58,1,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
122,10593,18737355,2400,2.0,1,825,11,2.0,88,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
147,8402,58994300,1850,1.0,1,1000,2,1.0,11,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
153,987,39809462,1600,0.0,1,600,3,5.0,65,0,0,0,0,0,0,0,0,Jackson Heights,Central Queens,Queens
187,6861,47903202,2025,2.0,1,891,6,2.0,54,1,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
197,10963,60837572,1900,1.0,1,900,3,7.0,61,1,0,0,0,0,0,0,0,Elmhurst,Central Queens,Queens
203,6743,66130763,2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Northeast Queens,Queens
214,8457,57263590,2000,1.0,1,482,8,4.0,86,0,0,0,0,0,0,0,0,Corona,Central Queens,Queens
216,2334,73478502,3295,2.0,2,1368,3,3.0,7,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
217,5844,71772648,2350,1.0,1,600,5,6.0,12,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
222,6754,30171847,3450,1.0,1,888,2,6.0,8,0,0,1,1,1,1,0,1,Long Island City,Northwest Queens,Queens
261,9307,58867322,1450,1.0,1,700,8,3.0,92,0,0,0,0,0,0,0,0,Richmond Hill,South Queens,Queens
269,3516,7860298,1975,1.0,1,700,43,20.0,42,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
295,3768,11594680,2995,3.0,2,1360,4,1.5,71,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
303,7439,6584016,2900,3.0,1,1200,10,2.0,96,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
306,5133,95553706,2000,1.0,1,750,9,5.0,15,0,0,1,0,0,1,0,0,Kew Gardens,Northeast Queens,Queens
312,8317,98049753,1495,0.0,1,550,2,1.0,91,0,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
